PyramidalLevels,Load,Preproc,Convert,Lvl1_total,Lvl1_load,Lvl1_exec,Lvl2_total,Lvl2_load,Lvl2_exec,Lvl3_total,Lvl3_load,Lvl3_exec,Lvl4_total,Lvl4_load,Lvl4_exec,RegSum,PyrTotal,PyrTotal_nosetup,FinalTransform,E2E,e2e_total_time_nosetup
4,5.77291,0.808373,4.967e-05,0.0890115,0.0129383,0.0667387,0.0952902,0.0084354,0.0783451,0.173598,0.00828168,0.157241,0.812206,0.00757587,0.781731,1.1701,19.2138,19.2138,0.0347526,20.057,20.057
4,5.82734,0.796188,8.004e-05,0.0841642,0.00763927,0.0678471,0.0939406,0.00790303,0.077959,0.174025,0.00803385,0.158152,0.797887,0.00892564,0.780516,1.15002,18.9555,18.9555,0.034182,19.7859,19.7859
4,5.7116,0.773878,7.51e-05,0.0862641,0.00808185,0.0688367,0.0951978,0.00828461,0.078406,0.174908,0.00843945,0.158104,0.797918,0.00843562,0.781043,1.15429,19.269,19.269,0.0345934,20.0775,20.0775
4,5.61225,0.825991,7.088e-05,0.0848746,0.00747436,0.0686427,0.0949838,0.00826313,0.0784617,0.174662,0.00842661,0.157945,0.797728,0.00824631,0.781201,1.15225,19.1388,19.1388,0.037379,20.0023,20.0023
4,5.59524,0.809371,3.056e-05,0.0883618,0.0112692,0.0677023,0.0949653,0.00830345,0.0782185,0.174012,0.00807799,0.157969,0.802026,0.0082474,0.781024,1.15937,19.1838,19.1838,0.0348945,20.0281,20.0281
4,5.82227,0.793724,5.716e-05,0.0850979,0.00760972,0.0686471,0.0965206,0.00861986,0.0791921,0.174129,0.00804832,0.158071,0.798213,0.00857303,0.781238,1.15396,19.1782,19.1782,0.035101,20.0071,20.0071
4,5.64041,0.804038,7.069e-05,0.0905037,0.0127678,0.0689382,0.0949953,0.00825584,0.0785561,0.174948,0.00828414,0.158347,0.798229,0.00846652,0.781343,1.15868,19.3345,19.3345,0.0352503,20.1738,20.1738
4,5.76685,0.811302,6.0639e-05,0.0864787,0.00836678,0.0689639,0.0958155,0.00861048,0.0783614,0.174574,0.00851375,0.157787,0.797965,0.00821242,0.781428,1.15483,18.7885,18.7885,0.0349074,19.6347,19.6347
4,5.67461,0.781124,3.58e-05,0.084678,0.00791958,0.0678369,0.0940762,0.00791271,0.0783008,0.173943,0.0094299,0.156074,0.803373,0.00833247,0.781898,1.15607,19.053,19.053,0.0350654,19.8692,19.8692
4,5.86918,0.793489,7.5869e-05,0.0849619,0.00764427,0.0684952,0.0951098,0.00814512,0.0784886,0.174773,0.00828315,0.158116,0.796308,0.00820885,0.780053,1.15115,19.0724,19.0724,0.0342928,19.9003,19.9003
4,6.14764,0.795919,6.727e-05,0.0852698,0.00786342,0.0683628,0.0949787,0.00821453,0.0785559,0.174433,0.00847338,0.157906,0.797984,0.00848371,0.780981,1.15266,19.3342,19.3342,0.0347316,20.1649,20.1649
4,6.38547,0.806727,4.944e-05,0.0821029,0.00767465,0.0653628,0.0934886,0.00871667,0.0762108,0.172988,0.00851545,0.15579,0.796827,0.00824613,0.780553,1.14541,19.2896,19.2896,0.0345681,20.131,20.131
4,5.68687,0.793549,5.328e-05,0.0868427,0.011895,0.0654129,0.0957702,0.00848114,0.0785977,0.173773,0.00799018,0.157861,0.797247,0.00819261,0.781076,1.15363,19.009,19.009,0.0354594,19.8381,19.8381
4,5.76768,0.804884,3.362e-05,0.0891326,0.0115907,0.0683808,0.0960477,0.00875464,0.0785534,0.174457,0.00819652,0.158079,0.798631,0.00854745,0.781564,1.15827,19.0472,19.0472,0.034574,19.8866,19.8866
4,5.66302,0.803638,6.671e-05,0.0845199,0.00763166,0.0680807,0.0945616,0.00807815,0.0784359,0.174003,0.0081702,0.157546,0.796705,0.00806249,0.780578,1.14979,19.0497,19.0497,0.0371971,19.8906,19.8906
4,5.6405,0.786988,3.163e-05,0.102711,0.023547,0.0695448,0.0957419,0.00846848,0.0787914,0.172906,0.00825035,0.156583,0.801226,0.00831844,0.781077,1.17258,18.8056,18.8056,0.0353646,19.628,19.628
